"Source:","/home/travis/e-cribbage/KiCAD/e-cribbage.sch"
"Date:","Wed 29 Jul 2020 05:02:40 PM CDT"
"Tool:","Eeschema 5.1.4+dfsg1-1"
"Component Count:","577"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"BAT1","BS-7","Battery_Holders:Keystone_1058_1x2032-CoinCell","http://www.memoryprotectiondevices.com/datasheets/BS-7-datasheet.pdf","MPD (Memory Protection Devices)",""
"C1","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C2","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C3","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C4","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C5","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C6","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C7","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C8","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C9","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C10","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C11","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C12","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C13","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C14","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C15","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C16","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C17","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C18","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C19","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C20","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C21","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C22","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C23","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C24","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C25","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C26","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C27","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C28","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C29","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C30","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C31","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C32","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C33","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C34","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C35","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C36","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C37","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C38","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C39","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C40","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C41","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C42","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C43","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"D1","LED1","e-cribbage:LED_0603","~","",""
"D2","LED1","e-cribbage:LED_0603","~","",""
"D3","LED1","e-cribbage:LED_0603","~","",""
"D4","LED1","e-cribbage:LED_0603","~","",""
"D5","LED1","e-cribbage:LED_0603","~","",""
"D6","LED1","e-cribbage:LED_0603","~","",""
"D7","LED1","e-cribbage:LED_0603","~","",""
"D8","LED1","e-cribbage:LED_0603","~","",""
"D9","LED1","e-cribbage:LED_0603","~","",""
"D10","LED1","e-cribbage:LED_0603","~","",""
"D11","LED1","e-cribbage:LED_0603","~","",""
"D12","LED1","e-cribbage:LED_0603","~","",""
"D13","LED1","e-cribbage:LED_0603","~","",""
"D14","LED1","e-cribbage:LED_0603","~","",""
"D15","LED1","e-cribbage:LED_0603","~","",""
"D16","LED1","e-cribbage:LED_0603","~","",""
"D17","LED1","e-cribbage:LED_0603","~","",""
"D18","LED1","e-cribbage:LED_0603","~","",""
"D19","LED1","e-cribbage:LED_0603","~","",""
"D20","LED1","e-cribbage:LED_0603","~","",""
"D21","LED1","e-cribbage:LED_0603","~","",""
"D22","LED1","e-cribbage:LED_0603","~","",""
"D23","LED1","e-cribbage:LED_0603","~","",""
"D24","LED1","e-cribbage:LED_0603","~","",""
"D25","LED1","e-cribbage:LED_0603","~","",""
"D26","LED1","e-cribbage:LED_0603","~","",""
"D27","LED1","e-cribbage:LED_0603","~","",""
"D28","LED1","e-cribbage:LED_0603","~","",""
"D29","LED1","e-cribbage:LED_0603","~","",""
"D30","LED1","e-cribbage:LED_0603","~","",""
"D31","LED1","e-cribbage:LED_0603","~","",""
"D32","LED1","e-cribbage:LED_0603","~","",""
"D33","LED1","e-cribbage:LED_0603","~","",""
"D34","LED1","e-cribbage:LED_0603","~","",""
"D35","LED1","e-cribbage:LED_0603","~","",""
"D36","LED1","e-cribbage:LED_0603","~","",""
"D37","LED1","e-cribbage:LED_0603","~","",""
"D38","LED1","e-cribbage:LED_0603","~","",""
"D39","LED1","e-cribbage:LED_0603","~","",""
"D40","LED1","e-cribbage:LED_0603","~","",""
"D41","LED1","e-cribbage:LED_0603","~","",""
"D42","LED1","e-cribbage:LED_0603","~","",""
"D43","LED1","e-cribbage:LED_0603","~","",""
"D44","LED1","e-cribbage:LED_0603","~","",""
"D45","LED1","e-cribbage:LED_0603","~","",""
"D46","LED1","e-cribbage:LED_0603","~","",""
"D47","LED1","e-cribbage:LED_0603","~","",""
"D48","LED1","e-cribbage:LED_0603","~","",""
"D49","LED1","e-cribbage:LED_0603","~","",""
"D50","LED1","e-cribbage:LED_0603","~","",""
"D51","LED1","e-cribbage:LED_0603","~","",""
"D52","LED1","e-cribbage:LED_0603","~","",""
"D53","LED1","e-cribbage:LED_0603","~","",""
"D54","LED1","e-cribbage:LED_0603","~","",""
"D55","LED1","e-cribbage:LED_0603","~","",""
"D56","LED1","e-cribbage:LED_0603","~","",""
"D57","LED1","e-cribbage:LED_0603","~","",""
"D58","LED1","e-cribbage:LED_0603","~","",""
"D59","LED1","e-cribbage:LED_0603","~","",""
"D60","LED1","e-cribbage:LED_0603","~","",""
"D61","LED1","e-cribbage:LED_0603","~","",""
"D62","LED1","e-cribbage:LED_0603","~","",""
"D63","LED1","e-cribbage:LED_0603","~","",""
"D64","LED1","e-cribbage:LED_0603","~","",""
"D65","LED1","e-cribbage:LED_0603","~","",""
"D66","LED1","e-cribbage:LED_0603","~","",""
"D67","LED1","e-cribbage:LED_0603","~","",""
"D68","LED1","e-cribbage:LED_0603","~","",""
"D69","LED1","e-cribbage:LED_0603","~","",""
"D70","LED1","e-cribbage:LED_0603","~","",""
"D71","LED1","e-cribbage:LED_0603","~","",""
"D72","LED1","e-cribbage:LED_0603","~","",""
"D73","LED1","e-cribbage:LED_0603","~","",""
"D74","LED1","e-cribbage:LED_0603","~","",""
"D75","LED1","e-cribbage:LED_0603","~","",""
"D76","LED1","e-cribbage:LED_0603","~","",""
"D77","LED1","e-cribbage:LED_0603","~","",""
"D78","LED1","e-cribbage:LED_0603","~","",""
"D79","LED1","e-cribbage:LED_0603","~","",""
"D80","LED1","e-cribbage:LED_0603","~","",""
"D81","LED1","e-cribbage:LED_0603","~","",""
"D82","LED1","e-cribbage:LED_0603","~","",""
"D83","LED1","e-cribbage:LED_0603","~","",""
"D84","LED1","e-cribbage:LED_0603","~","",""
"D85","LED1","e-cribbage:LED_0603","~","",""
"D86","LED1","e-cribbage:LED_0603","~","",""
"D87","LED1","e-cribbage:LED_0603","~","",""
"D88","LED1","e-cribbage:LED_0603","~","",""
"D89","LED1","e-cribbage:LED_0603","~","",""
"D90","LED1","e-cribbage:LED_0603","~","",""
"D91","LED1","e-cribbage:LED_0603","~","",""
"D92","LED1","e-cribbage:LED_0603","~","",""
"D93","LED1","e-cribbage:LED_0603","~","",""
"D94","LED1","e-cribbage:LED_0603","~","",""
"D95","LED1","e-cribbage:LED_0603","~","",""
"D96","LED1","e-cribbage:LED_0603","~","",""
"D97","LED1","e-cribbage:LED_0603","~","",""
"D98","LED1","e-cribbage:LED_0603","~","",""
"D99","LED1","e-cribbage:LED_0603","~","",""
"D100","LED1","e-cribbage:LED_0603","~","",""
"D101","LED1","e-cribbage:LED_0603","~","",""
"D102","LED1","e-cribbage:LED_0603","~","",""
"D103","LED1","e-cribbage:LED_0603","~","",""
"D104","LED1","e-cribbage:LED_0603","~","",""
"D105","LED1","e-cribbage:LED_0603","~","",""
"D106","LED1","e-cribbage:LED_0603","~","",""
"D107","LED1","e-cribbage:LED_0603","~","",""
"D108","LED1","e-cribbage:LED_0603","~","",""
"D109","LED1","e-cribbage:LED_0603","~","",""
"D110","LED1","e-cribbage:LED_0603","~","",""
"D111","LED1","e-cribbage:LED_0603","~","",""
"D112","LED1","e-cribbage:LED_0603","~","",""
"D113","LED1","e-cribbage:LED_0603","~","",""
"D114","LED1","e-cribbage:LED_0603","~","",""
"D115","LED1","e-cribbage:LED_0603","~","",""
"D116","LED1","e-cribbage:LED_0603","~","",""
"D117","LED1","e-cribbage:LED_0603","~","",""
"D118","LED1","e-cribbage:LED_0603","~","",""
"D119","LED1","e-cribbage:LED_0603","~","",""
"D120","LED1","e-cribbage:LED_0603","~","",""
"D121","LED2","e-cribbage:LED_0603","~","",""
"D122","LED2","e-cribbage:LED_0603","~","",""
"D123","LED2","e-cribbage:LED_0603","~","",""
"D124","LED2","e-cribbage:LED_0603","~","",""
"D125","LED2","e-cribbage:LED_0603","~","",""
"D126","LED2","e-cribbage:LED_0603","~","",""
"D127","LED2","e-cribbage:LED_0603","~","",""
"D128","LED2","e-cribbage:LED_0603","~","",""
"D129","LED2","e-cribbage:LED_0603","~","",""
"D130","LED2","e-cribbage:LED_0603","~","",""
"D131","LED2","e-cribbage:LED_0603","~","",""
"D132","LED2","e-cribbage:LED_0603","~","",""
"D133","LED2","e-cribbage:LED_0603","~","",""
"D134","LED2","e-cribbage:LED_0603","~","",""
"D135","LED2","e-cribbage:LED_0603","~","",""
"D136","LED2","e-cribbage:LED_0603","~","",""
"D137","LED2","e-cribbage:LED_0603","~","",""
"D138","LED2","e-cribbage:LED_0603","~","",""
"D139","LED2","e-cribbage:LED_0603","~","",""
"D140","LED2","e-cribbage:LED_0603","~","",""
"D141","LED2","e-cribbage:LED_0603","~","",""
"D142","LED2","e-cribbage:LED_0603","~","",""
"D143","LED2","e-cribbage:LED_0603","~","",""
"D144","LED2","e-cribbage:LED_0603","~","",""
"D145","LED2","e-cribbage:LED_0603","~","",""
"D146","LED2","e-cribbage:LED_0603","~","",""
"D147","LED2","e-cribbage:LED_0603","~","",""
"D148","LED2","e-cribbage:LED_0603","~","",""
"D149","LED2","e-cribbage:LED_0603","~","",""
"D150","LED2","e-cribbage:LED_0603","~","",""
"D151","LED2","e-cribbage:LED_0603","~","",""
"D152","LED2","e-cribbage:LED_0603","~","",""
"D153","LED2","e-cribbage:LED_0603","~","",""
"D154","LED2","e-cribbage:LED_0603","~","",""
"D155","LED2","e-cribbage:LED_0603","~","",""
"D156","LED2","e-cribbage:LED_0603","~","",""
"D157","LED2","e-cribbage:LED_0603","~","",""
"D158","LED2","e-cribbage:LED_0603","~","",""
"D159","LED2","e-cribbage:LED_0603","~","",""
"D160","LED2","e-cribbage:LED_0603","~","",""
"D161","LED2","e-cribbage:LED_0603","~","",""
"D162","LED2","e-cribbage:LED_0603","~","",""
"D163","LED2","e-cribbage:LED_0603","~","",""
"D164","LED2","e-cribbage:LED_0603","~","",""
"D165","LED2","e-cribbage:LED_0603","~","",""
"D166","LED2","e-cribbage:LED_0603","~","",""
"D167","LED2","e-cribbage:LED_0603","~","",""
"D168","LED2","e-cribbage:LED_0603","~","",""
"D169","LED2","e-cribbage:LED_0603","~","",""
"D170","LED2","e-cribbage:LED_0603","~","",""
"D171","LED2","e-cribbage:LED_0603","~","",""
"D172","LED2","e-cribbage:LED_0603","~","",""
"D173","LED2","e-cribbage:LED_0603","~","",""
"D174","LED2","e-cribbage:LED_0603","~","",""
"D175","LED2","e-cribbage:LED_0603","~","",""
"D176","LED2","e-cribbage:LED_0603","~","",""
"D177","LED2","e-cribbage:LED_0603","~","",""
"D178","LED2","e-cribbage:LED_0603","~","",""
"D179","LED2","e-cribbage:LED_0603","~","",""
"D180","LED2","e-cribbage:LED_0603","~","",""
"D181","LED2","e-cribbage:LED_0603","~","",""
"D182","LED2","e-cribbage:LED_0603","~","",""
"D183","LED2","e-cribbage:LED_0603","~","",""
"D184","LED2","e-cribbage:LED_0603","~","",""
"D185","LED2","e-cribbage:LED_0603","~","",""
"D186","LED2","e-cribbage:LED_0603","~","",""
"D187","LED2","e-cribbage:LED_0603","~","",""
"D188","LED2","e-cribbage:LED_0603","~","",""
"D189","LED2","e-cribbage:LED_0603","~","",""
"D190","LED2","e-cribbage:LED_0603","~","",""
"D191","LED2","e-cribbage:LED_0603","~","",""
"D192","LED2","e-cribbage:LED_0603","~","",""
"D193","LED2","e-cribbage:LED_0603","~","",""
"D194","LED2","e-cribbage:LED_0603","~","",""
"D195","LED2","e-cribbage:LED_0603","~","",""
"D196","LED2","e-cribbage:LED_0603","~","",""
"D197","LED2","e-cribbage:LED_0603","~","",""
"D198","LED2","e-cribbage:LED_0603","~","",""
"D199","LED2","e-cribbage:LED_0603","~","",""
"D200","LED2","e-cribbage:LED_0603","~","",""
"D201","LED2","e-cribbage:LED_0603","~","",""
"D202","LED2","e-cribbage:LED_0603","~","",""
"D203","LED2","e-cribbage:LED_0603","~","",""
"D204","LED2","e-cribbage:LED_0603","~","",""
"D205","LED2","e-cribbage:LED_0603","~","",""
"D206","LED2","e-cribbage:LED_0603","~","",""
"D207","LED2","e-cribbage:LED_0603","~","",""
"D208","LED2","e-cribbage:LED_0603","~","",""
"D209","LED2","e-cribbage:LED_0603","~","",""
"D210","LED2","e-cribbage:LED_0603","~","",""
"D211","LED2","e-cribbage:LED_0603","~","",""
"D212","LED2","e-cribbage:LED_0603","~","",""
"D213","LED2","e-cribbage:LED_0603","~","",""
"D214","LED2","e-cribbage:LED_0603","~","",""
"D215","LED2","e-cribbage:LED_0603","~","",""
"D216","LED2","e-cribbage:LED_0603","~","",""
"D217","LED2","e-cribbage:LED_0603","~","",""
"D218","LED2","e-cribbage:LED_0603","~","",""
"D219","LED2","e-cribbage:LED_0603","~","",""
"D220","LED2","e-cribbage:LED_0603","~","",""
"D221","LED2","e-cribbage:LED_0603","~","",""
"D222","LED2","e-cribbage:LED_0603","~","",""
"D223","LED2","e-cribbage:LED_0603","~","",""
"D224","LED2","e-cribbage:LED_0603","~","",""
"D225","LED2","e-cribbage:LED_0603","~","",""
"D226","LED2","e-cribbage:LED_0603","~","",""
"D227","LED2","e-cribbage:LED_0603","~","",""
"D228","LED2","e-cribbage:LED_0603","~","",""
"D229","LED2","e-cribbage:LED_0603","~","",""
"D230","LED2","e-cribbage:LED_0603","~","",""
"D231","LED2","e-cribbage:LED_0603","~","",""
"D232","LED2","e-cribbage:LED_0603","~","",""
"D233","LED2","e-cribbage:LED_0603","~","",""
"D234","LED2","e-cribbage:LED_0603","~","",""
"D235","LED2","e-cribbage:LED_0603","~","",""
"D236","LED2","e-cribbage:LED_0603","~","",""
"D237","LED2","e-cribbage:LED_0603","~","",""
"D238","LED2","e-cribbage:LED_0603","~","",""
"D239","LED2","e-cribbage:LED_0603","~","",""
"D240","LED2","e-cribbage:LED_0603","~","",""
"J1","Conn_01x04_Female","Connector_PinHeader_1.27mm:PinHeader_1x04_P1.27mm_Vertical","~","",""
"J2","USB_B_Micro","Connector_USB:USB_Micro-B_Molex_47346-0001","~","",""
"R1","1k","e-cribbage:R_0603","~","",""
"R2","1k","e-cribbage:R_0603","~","",""
"R3","1k","e-cribbage:R_0603","~","",""
"R4","1k","e-cribbage:R_0603","~","",""
"R5","1k","e-cribbage:R_0603","~","",""
"R6","1k","e-cribbage:R_0603","~","",""
"R7","1k","e-cribbage:R_0603","~","",""
"R8","1k","e-cribbage:R_0603","~","",""
"R9","1k","e-cribbage:R_0603","~","",""
"R10","1k","e-cribbage:R_0603","~","",""
"R11","1k","e-cribbage:R_0603","~","",""
"R12","1k","e-cribbage:R_0603","~","",""
"R13","1k","e-cribbage:R_0603","~","",""
"R14","1k","e-cribbage:R_0603","~","",""
"R15","1k","e-cribbage:R_0603","~","",""
"R16","1k","e-cribbage:R_0603","~","",""
"R17","1k","e-cribbage:R_0603","~","",""
"R18","1k","e-cribbage:R_0603","~","",""
"R19","1k","e-cribbage:R_0603","~","",""
"R20","1k","e-cribbage:R_0603","~","",""
"R21","1k","e-cribbage:R_0603","~","",""
"R22","1k","e-cribbage:R_0603","~","",""
"R23","1k","e-cribbage:R_0603","~","",""
"R24","1k","e-cribbage:R_0603","~","",""
"R25","1k","e-cribbage:R_0603","~","",""
"R26","1k","e-cribbage:R_0603","~","",""
